name,number,status
IEEE 754 Floating Point Special Values,754,Rejected
Python 3000,3000,Final
Syntactic formalization of f-strings,701,Draft
Additional Fields for the Simple API for Package Indexes,700,Draft
Remove private dict version field added in PEP 509,699,Draft
Override Decorator for Static Typing,698,Draft
Type defaults for TypeVarLikes,696,Draft
Limited C API for Extending Opaque Types,697,Draft
Type Parameter Syntax,695,Draft
Upload 2.0 API for Python Package Repositories,694,Draft
Python 3.12 Release Schedule,693,Active
Lazy Imports,690,Draft
JSON-based Simple API for Python Package Indexes,691,Accepted
Using TypedDict for more precise **kwargs typing,692,Draft
Unstable C API tier,689,Draft
Making the buffer protocol accessible in Python,688,Draft
Isolating modules in the standard library,687,Accepted
Make UTF-8 mode default,686,Accepted
Comparison of extra names for optional distribution dependencies,685,Accepted
A Per-Interpreter GIL,684,Draft
Data Class Transforms,681,Accepted
Format Specifier for Signed Zero,682,Final
"Immortal Objects, Using a Fixed Refcount",683,Accepted
Arbitrary Literal String Type,675,Accepted
Allow parentheses in assert statements,679,Draft
Enriching Exceptions with Notes,678,Accepted
PEP Infrastructure Process,676,Active
Callable Type Syntax,677,Rejected
tomllib: Support for Parsing TOML in the Standard Library,680,Accepted
Syntax for late-bound function argument defaults,671,Draft
Disallow using macros as l-values,674,Draft
Self Type,673,Accepted
Unicode-related Security Considerations for Python,672,Active
Convert macros to functions in the Python C API,670,Final
Python 3.11 Release Schedule,664,Active
Low Impact Monitoring for CPython,669,Draft
Marking Python base environments as “externally managed”,668,Accepted
Consistent views of namespaces,667,Draft
Reject Foolish Indentation,666,Rejected
A file format to list Python dependencies for reproducibility of an application,665,Rejected
"Standardizing Enum str(), repr(), and format() behaviors",663,Rejected
Sentinel Values,661,Draft
Editable installs via virtual wheels,662,Rejected
Specializing Adaptive Interpreter,659,Draft
Exception Groups and except*,654,Accepted
Editable installs for pyproject.toml based builds (wheel based),660,Final
Include Fine Grained Error Locations in Tracebacks,657,Final
Serve Distribution Metadata in the Simple Repository API,658,Accepted
Marking individual TypedDict items as required or potentially-missing,655,Accepted
Platform Tag for Linux Distributions Using Musl,656,Final
Precise Semantics for Pattern Matching,653,Draft
User-Defined Type Guards,647,Accepted
Robust Stack Overflow Handling,651,Rejected
Variadic Generics,646,Accepted
Maintaining the Stable ABI,652,Final
Deferred Evaluation Of Annotations Using Descriptors,649,Draft
Extensible customizations of the interpreter at startup,648,Rejected
Specifying Installer Requirements for Python Projects,650,Withdrawn
Allow writing optional types as x?,645,Withdrawn
Require OpenSSL 1.1.1 or newer,644,Final
Metadata for Package Source Distributions,643,Final
Using an underscore in the version portion of Python 3.10 compatibility tags,641,Rejected
Unused variable syntax,640,Rejected
Explicit Pattern Syntax for Structural Pattern Matching,642,Rejected
Syntactic Macros,638,Draft
Improving License Clarity with Better Package Metadata,639,Draft
Support for indexing with keyword arguments,637,Rejected
Structural Pattern Matching: Tutorial,636,Final
Dependency specification in pyproject.toml based on PEP 508,631,Superseded
Structural Pattern Matching: Specification,634,Accepted
Structural Pattern Matching: Motivation and Rationale,635,Final
Dependency specification in pyproject.toml using an exploded TOML table,633,Rejected
Deprecate distutils module,632,Accepted
Isolating Extension Modules,630,Final
Versioning PyPI’s Simple API,629,Final
Recording installed projects,627,Final
Add math.tau,628,Final
Filename of a Source Distribution,625,Accepted
Precise line numbers for debugging and other tools.,626,Final
Remove Py_UNICODE encoder APIs,624,Final
Remove wstr from Unicode,623,Final
Structural Pattern Matching,622,Superseded
Storing project metadata in pyproject.toml,621,Final
Hide implementation details from the C API,620,Draft
Python 3.10 Release Schedule,619,Active
String methods to remove prefixes and suffixes,616,Final
Add Optional Length-Checking To zip,618,Final
Relaxing Grammar Restrictions On Decorators,614,Final
New PEG parser for CPython,617,Accepted
Support for the IANA Time Zone Database in the Standard Library,615,Accepted
Explicit Type Aliases,613,Accepted
Parameter Specification Variables,612,Accepted
Recording the Direct URL Origin of installed distributions,610,Final
Python Packaging Authority (PyPA) Governance,609,Active
The one million limit,611,Withdrawn
Coordinated Python release,608,Rejected
Reducing CPython’s Feature Delivery Latency,607,Final
Python Compatibility Version,606,Rejected
Allow writing union types as X | Y,604,Accepted
A rolling feature release stream for CPython,605,Rejected
Adding a frozenmap type to collections,603,Draft
Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,600,Final
The manylinux2014 Platform Tag,599,Superseded
Annual Release Cycle for Python,602,Accepted
Forbid return/break/continue breaking out of finally,601,Rejected
Add optional EncodingWarning,597,Final
Introducing incremental feature releases,598,Withdrawn
Removing dead batteries from the standard library,594,Accepted
Improving bugs.python.org,595,Withdrawn
Python 3.9 Release Schedule,596,Active
Flexible function and variable annotations,593,Accepted
Adding “Yank” Support to the Simple API,592,Final
TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,589,Accepted
Vectorcall: a fast calling protocol for CPython,590,Accepted
GitHub Issues Migration Plan,588,Draft
Adding a final qualifier to typing,591,Accepted
Python Initialization Configuration,587,Final
Add Union Operators To dict,584,Final
Type Hinting Generics In Standard Collections,585,Final
Literal Types,586,Accepted
A Concurrency Memory Model for Python,583,Withdrawn
Python local packages directory,582,Draft
Using GitHub Issues for CPython,581,Accepted
Refactoring C functions and methods,579,Final
The C call protocol,580,Rejected
Python Runtime Audit Hooks,578,Accepted
Augmented Assignment Expressions,577,Withdrawn
Rationalize Built-in function classes,576,Withdrawn
Assignment Expressions,572,Final
Python 3.8 Release Schedule,569,Active
Unifying function/method classes,575,Withdrawn
Pickle protocol 5 with out-of-band data,574,Final
Module State Access from C Extension Methods,573,Final
The manylinux2010 Platform Tag,571,Superseded
Python Positional-Only Parameters,570,Final
Generator-sensitivity for Context Variables,568,Deferred
Context Variables,567,Final
Show DeprecationWarning in __main__,565,Final
Metadata for Python Software Packages 2.1,566,Final
Add new time functions with nanosecond resolution,564,Final
Postponed Evaluation of Annotations,563,Accepted
Distributing and Packaging Type Information,561,Final
Module __getattr__ and __dir__,562,Final
Core support for typing module and generic types,560,Accepted
Built-in noop(),559,Rejected
Threaded garbage collection,556,Deferred
Context-local variables (contextvars),555,Withdrawn
Defined semantics for locals(),558,Draft
Data Classes,557,Final
Deterministic pycs,552,Final
Built-in breakpoint(),553,Final
Security transparency in the Python runtime,551,Withdrawn
Multiple Interpreters in the Stdlib,554,Draft
Execution Context,550,Withdrawn
More Flexible Loop Control,548,Rejected
Instance Descriptors,549,Rejected
Running extension modules using the -m option,547,Deferred
A Unified TLS API for Python,543,Withdrawn
Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,546,Rejected
Python Documentation Translations,545,Final
Protocols: Structural subtyping (static duck typing),544,Accepted
Package Index Name Retention,541,Final
Dot Notation Assignment In Function Header,542,Rejected
Add a new UTF-8 Mode,540,Final
A New C-API for Thread-Local Storage in CPython,539,Final
Coercing the legacy C locale to a UTF-8 based locale,538,Final
Python 3.7 Release Schedule,537,Active
Rich comparison chaining,535,Deferred
Final Grammar for Literal String Interpolation,536,Deferred
Improved Errors for Missing Standard Library Modules,534,Deferred
A circuit breaking protocol and binary operators,532,Deferred
Asynchronous Comprehensions,530,Final
Deterministic cleanup for iterators,533,Deferred
Existence checking operators,531,Withdrawn
Syntax for Variable Annotations,526,Final
Removing Un(der)used file types/extensions on PyPI,527,Final
Change Windows filesystem encoding to UTF-8,529,Final
Change Windows console encoding to UTF-8,528,Final
Adding a frame evaluation API to CPython,523,Final
Make os.urandom() blocking on Linux,524,Final
Asynchronous Generators,525,Final
Allow BlockingIOError in security sensitive APIs,522,Rejected
Specifying Minimum Build System Requirements for Python Projects,518,Final
Adding a file system path protocol,519,Final
Preserving Class Attribute Definition Order,520,Final
Managing global context via ‘with’ blocks in generators and coroutines,521,Withdrawn
Underscores in Numeric Literals,515,Final
Build system abstraction for pip/conda etc,516,Rejected
Python registration in the Windows registry,514,Active
A build-system independent format for source trees,517,Final
A Platform Tag for Portable Linux Built Distributions,513,Superseded
Dependency specification for Python Software Packages,508,Final
Migrating from hg.python.org to GitHub,512,Final
Specialize functions with guards,510,Rejected
API for code transformers,511,Rejected
Add a private version to dict,509,Final
Migrate CPython to Git and GitLab,507,Rejected
Adding A Secrets Module To The Standard Library,506,Final
None-aware operators,505,Deferred
Simple Repository API,503,Final
Using the System RNG by default,504,Withdrawn
String Interpolation - Extended Discussion,502,Rejected
A protocol for delegating datetime methods to their tzinfo implementations,500,Rejected
General purpose string interpolation,501,Deferred
python -m foo should bind sys.modules['foo'] in addition to sys.modules['__main__'],499,Deferred
A standard mechanism for backward compatibility,497,Rejected
Literal String Interpolation,498,Final
Environment Markers,496,Rejected
Python 3.6 Release Schedule,494,Final
Local Time Disambiguation,495,Final
HTTPS verification migration tools for Python 2.7,493,Final
Coroutines with async and await syntax,492,Final
The Wheel Binary Package Format 1.9,491,Deferred
Chain exceptions at C level,490,Rejected
Multi-phase extension module initialization,489,Final
Elimination of PYO files,488,Final
Simpler customisation of class creation,487,Final
Make the Python Launcher aware of virtual environments,486,Final
Type Hints,484,Final
A Function for testing approximate equality,485,Final
The Theory of Type Hints,483,Final
Literature Overview for Type Hints,482,Final
"Migrate CPython to Git, Github, and Phabricator",481,Withdrawn
Change StopIteration handling inside generators,479,Final
Surviving a Compromise of PyPI: End-to-end signing of packages,480,Draft
Python 3.5 Release Schedule,478,Final
Enabling certificate verification by default for stdlib http clients,476,Final
Backport ensurepip (PEP 453) to Python 2.7,477,Final
Retry system calls failing with EINTR,475,Final
Adding structured data to built-in exceptions,473,Rejected
Creating forge.python.org,474,Withdrawn
Support for indexing with keyword arguments,472,Rejected
os.scandir() function – a better and faster directory iterator,471,Final
Removing External Hosting Support on PyPI,470,Final
Migration of dict iteration code to Python 3,469,Withdrawn
Preserving the order of **kwargs in a function.,468,Final
Minor API improvements for binary sequences,467,Draft
Network Security Enhancements for Python 2.7.x,466,Final
A dedicated infix operator for matrix multiplication,465,Final
Removal of the PyPI Mirror Authenticity API,464,Final
Exception-catching expressions,463,Rejected
Add binary interpolation and formatting,460,Withdrawn
Core development workflow automation for CPython,462,Withdrawn
Adding % formatting to bytes and bytearray,461,Final
Secure PyPI downloads with signed repository metadata,458,Accepted
Standard Metadata Extensions for Python Software Packages,459,Withdrawn
Notation For Positional-Only Parameters,457,Final
Secure and interchangeable hash algorithm,456,Final
Add a new tracemalloc module to trace Python memory allocations,454,Final
Adding a key-transforming dictionary to collections,455,Rejected
A ModuleSpec Type for the Import System,451,Final
API for Cryptographic Hash Functions v2.0,452,Final
Explicit bootstrapping of pip in Python installations,453,Final
Additional Unpacking Generalizations,448,Final
Adding A Statistics Module To The Standard Library,450,Final
Removal of the PyPI Mirror Auto Discovery and Naming Scheme,449,Final
Add __getdescriptor__ method to metaclass,447,Deferred
Make newly created file descriptors non-inheritable,446,Final
Add new APIs to customize Python memory allocators,445,Final
Python Web3 Interface,444,Deferred
Single-dispatch generic functions,443,Final
Improving Python ZIP Application Support,441,Final
Safe object finalization,442,Final
Inclusion of implicit pip bootstrap in Python installation,439,Rejected
Version Identification and Dependency Specification,440,Final
Transitioning to release-file hosting on PyPI,438,Superseded
"A DSL for specifying signatures, annotations and argument converters",437,Rejected
Adding an Enum type to the Python standard library,435,Final
The Argument Clinic DSL,436,Final
Restructuring the CPython startup sequence,432,Withdrawn
Easier suppression of file descriptor inheritance,433,Superseded
IDLE Enhancement Exception for All Branches,434,Active
Time zone support improvements,431,Superseded
Python 3.4 Release Schedule,429,Final
Migrating to Python 3 as the default online documentation,430,Final
The pathlib module – object-oriented filesystem paths,428,Final
The Wheel Binary Package Format 1.0,427,Final
A method for exposing a length hint,424,Final
Compatibility Tags for Built Distributions,425,Final
Metadata for Python Software Packages 2.0,426,Withdrawn
Naming conventions and recipes related to packaging,423,Deferred
Simpler customisation of class creation,422,Withdrawn
Implicit Namespace Packages,420,Final
Adding sys.implementation,421,Final
"Add monotonic time, performance counter, and process time functions",418,Final
Including mock in the Standard Library,417,Final
Protecting cleanup statements from interruptions,419,Deferred
Add a frozendict builtin type,416,Rejected
Implement context suppression with exception attributes,415,Final
Explicit Unicode Literal for Python 3.3,414,Final
Faster evolution of the Python Standard Library,413,Withdrawn
Key-Sharing Dictionary,412,Final
Provisional packages in the Python standard library,411,Superseded
Use decimal.Decimal type for timestamps,410,Rejected
Suppressing exception context,409,Final
Standard library __preview__ package,408,Rejected
New release cycle and introducing long-term support versions,407,Deferred
Improved Encapsulation of Import State,406,Withdrawn
Python Virtual Environments,405,Final
Python 2.8 Un-release Schedule,404,Final
General purpose decorator clause (aka “@in” clause),403,Deferred
Simplified Package Layout and Partitioning,402,Rejected
BDFL Retirement,401,April Fool!
Deprecate codecs.StreamReader and codecs.StreamWriter,400,Deferred
Pure Python/C Accelerator Module Compatibility Requirements,399,Final
Python 3.3 Release Schedule,398,Final
Module Version Numbers,396,Rejected
Dictionary-Based Configuration For Logging,391,Final
Python launcher for Windows,397,Final
Qualified Names for Modules,395,Withdrawn
The “python” Command on Unix-Like Systems,394,Active
Python 3.2 Release Schedule,392,Final
Flexible String Representation,393,Final
Static metadata for Distutils,390,Rejected
argparse - New Command Line Parsing Module,389,Final
Backwards Compatibility Policy,387,Active
Changing the version comparison module in Distutils,386,Superseded
Migrating from Subversion to Mercurial,385,Final
Non-decodable Bytes in System Character Interfaces,383,Final
Defining a Stable ABI,384,Final
Namespace Packages,382,Rejected
Mirroring infrastructure for PyPI,381,Withdrawn
Adding an Assignment Expression,379,Withdrawn
Format Specifier for Thousands Separator,378,Final
Syntax for Delegating to a Subgenerator,380,Final
Allow __enter__() methods to skip the statement body,377,Rejected
Database of Installed Python Distributions,376,Final
Choosing a distributed VCS for the Python project,374,Final
Python 3.1 Release Schedule,375,Final
Addition of the multiprocessing package to the standard library,371,Final
Adding an ordered dictionary to collections,372,Final
Python 2.7 Release Schedule,373,Final
Per user site-packages directory,370,Final
Main module explicit relative imports,366,Final
New Super,367,Superseded
Standard image protocol and class,368,Deferred
Post import hooks,369,Withdrawn
Adding the pkg_resources module,365,Rejected
Transitioning to the Py3K Standard Library,364,Withdrawn
Syntax For Dynamic Attribute Access,363,Rejected
Function Signature Object,362,Final
Externally Maintained Packages,360,Final
The “make” Statement,359,Withdrawn
The “bytes” Object,358,Final
Allowing Any Object to be Used for Slicing,357,Final
Python 2.6 and 3.0 Release Schedule,361,Final
Python 2.5 Release Schedule,356,Final
Path - Object oriented filesystem paths,355,Rejected
Enumerations in Python,354,Superseded
The freeze protocol,351,Rejected
Using ssize_t as the index type,353,Final
Required Superclass for Exceptions,352,Final
Codetags,350,Rejected
Allow str() to return unicode strings,349,Rejected
Exception Reorganization for Python 3.0,348,Rejected
User Defined (”with”) Statements,346,Withdrawn
Migrating the Python CVS to Subversion,347,Final
Metadata for Python Software Packages 1.2,345,Superseded
Exception Chaining and Embedded Tracebacks,344,Superseded
The “with” Statement,343,Final
Unifying try-except and try-finally,341,Final
Anonymous Block Statements,340,Rejected
Coroutines via Enhanced Generators,342,Final
Executing modules as scripts,338,Final
Design of the CPython Compiler,339,Withdrawn
Logging Usage in the Standard Library,337,Deferred
Make None Callable,336,Rejected
Overloadable Boolean Operators,335,Rejected
Simple Coroutines via SuspendIteration,334,Withdrawn
Python Web Server Gateway Interface v1.0,333,Final
Byte vectors and String/Unicode Unification,332,Rejected
Locale-Independent Float/String Conversions,331,Final
Python Bytecode Verification,330,Rejected
Imports: Multi-Line and Absolute/Relative,328,Final
Treating Builtins as Constants in the Standard Library,329,Rejected
A Case for Top and Bottom Values,326,Rejected
Decimal Data Type,327,Final
subprocess - New process module,324,Final
Resource-Release Support for Generators,325,Rejected
Copyable Iterators,323,Deferred
Reverse Iteration,322,Final
Python Synchronize/Asynchronize Block,319,Rejected
Python 2.4 Release Schedule,320,Final
Date/Time Parsing and Formatting,321,Withdrawn
Eliminate Implicit Exception Instantiation,317,Rejected
Decorators for Functions and Methods,318,Final
Adding Roman Numeral Literals to Python,313,Rejected
Programming by Contract for Python,316,Deferred
Metadata for Python Software Packages 1.1,314,Superseded
Enhanced While Loop,315,Rejected
Reliable Acquisition/Release Pairs,310,Rejected
Simple Implicit Lambda,312,Deferred
Simplified Global Interpreter Lock Acquisition for Extensions,311,Final
Partial Function Application,309,Final
How to Change Python’s Grammar,306,Withdrawn
Extensions to the pickle protocol,307,Final
Conditional Expressions,308,Final
CSV File API,305,Final
Extend divmod() for Multiple Divisors,303,Rejected
Package Index and Metadata for Distutils,301,Final
New Import Hooks,302,Final
Controlling Generation of Bytecode Files,304,Withdrawn
Special __main__() function in modules,299,Rejected
The Locked Buffer Interface,298,Withdrawn
Support for System Upgrades,297,Rejected
Adding a bytes Object Type,296,Withdrawn
Interpretation of multiline string constants,295,Rejected
Type Names in the types Module,294,Rejected
Codec Error Handling Callbacks,293,Final
Simpler String Substitutions,292,Final
Code Migration and Modernization,290,Active
Backward Compatibility for the Python 2 Standard Library,291,Final
Generator Expressions,289,Final
Generators Attributes and Exceptions,288,Withdrawn
Enhanced Argument Tuples,286,Deferred
Integer for-loops,284,Rejected
Adding a bool type,285,Final
reStructuredText Docstring Format,287,Active
Loop Counter Iteration with range and xrange,281,Rejected
A Logging System,282,Final
Python 2.3 Release Schedule,283,Final
Optimizing access to globals,280,Deferred
Universal Newline Support,278,Final
The enumerate() built-in function,279,Final
Unicode file name support for Windows NT,277,Final
Simple Iterator for ints,276,Rejected
Switching on Multiple Values,275,Rejected
Dict Comprehensions,274,Final
Import Modules from Zip Archives,273,Final
Prefixing sys.path by command line option,271,Rejected
API for Block Encryption Algorithms v1.0,272,Final
Pgen Module for Python,269,Deferred
uniq method for list objects,270,Rejected
Extended HTTP functionality and WebDAV,268,Rejected
Optimizing Global Variable/Attribute Access,266,Withdrawn
Optimized Access to Module Namespaces,267,Deferred
Sorting Dictionaries by Value,265,Rejected
A Database of Installed Python Packages,262,Rejected
Defining Python Source Code Encodings,263,Final
Future statements in simulated shells,264,Final
Support for “wide” Unicode characters,261,Final
Docstring Conventions,257,Active
Simplify xrange(),260,Final
Docutils Design Specification,258,Rejected
Omit printing newline after newline,259,Rejected
Docstring Processing System Framework,256,Rejected
Subtyping Built-in Types,253,Final
Making Classes Look More Like Types,254,Rejected
Python 2.2 Release Schedule,251,Final
Simple Generators,255,Final
Using site-packages on Windows,250,Final
Making Types Look More Like Classes,252,Final
Python Database API Specification v2.0,249,Final
API for Cryptographic Hash Functions,247,Final
Python Database API Specification v1.0,248,Final
Object Adaptation,246,Rejected
Python Interface Syntax,245,Rejected
The directive statement,244,Rejected
Module Repository Upload Mechanism,243,Withdrawn
Statically Nested Scopes,227,Final
Python 2.1 Release Schedule,226,Final
Import As,221,Final
Elementwise/Objectwise Operators,225,Rejected
Web Library Enhancements,222,Deferred
Change the Meaning of \x Escapes,223,Final
"Coroutines, Generators, Continuations",220,Rejected
Adding a Built-In Set Object Type,218,Final
Stackless Python,219,Deferred
Display Hook for Interactive Use,217,Final
Docstring Format,216,Rejected
String Interpolation,215,Superseded
Attribute Access Handlers,213,Deferred
Extended Print Statement,214,Final
Attribute Docstrings,224,Rejected
Loop Counter Iteration,212,Rejected
Adding A New Outer Product Operator,211,Rejected
Decoupling the Interpreter Loop,210,Rejected
Multi-dimensional Arrays,209,Withdrawn
Reworking the Coercion Model,208,Final
Rich Comparisons,207,Final
Python Advanced Library,206,Withdrawn
Weak References,205,Final
Range Literals,204,Rejected
Augmented Assignments,203,Final
List Comprehensions,202,Final
Python 2.0 Release Schedule,200,Final
Python 1.6 Release Schedule,160,Final
Collecting information about git,103,Withdrawn
Doing Python Micro Releases,102,Superseded
Lockstep Iteration,201,Final
Doing Python Releases 101,101,Active
The Zen of Python,20,Active
Python Unicode Integration,100,Final
Feature Requests,42,Withdrawn
Style Guide for Python Code,8,Active
Python Language Governance,13,Active
CPython platform support,11,Active
Sample reStructuredText PEP Template,12,Active
Voting Guidelines,10,Active
Bug Fix Releases,6,Active
Style Guide for C Code,7,Active
Deprecation of Standard Modules,4,Active
Guidelines for Handling Bug Reports,3,Withdrawn
Procedure for Adding New Modules,2,Active
Guidelines for Language Evolution,5,Active
Sample Plaintext PEP Template,9,Withdrawn
